TimeStep,Susceptible,Infected,Recovered,Vaccinated,Dead,NewInfections
0,7727,1807,26,440,0,1355
1,6202,2873,120,805,0,1160
2,5017,3622,264,1097,0,893
3,4103,4168,436,1293,0,718
4,3386,4526,636,1452,0,558
5,2769,4764,892,1575,0,494
6,2301,4919,1115,1665,0,378
7,1864,5047,1342,1747,0,355
8,1551,5065,1582,1802,0,258
9,1271,5063,1819,1847,0,235
10,1039,5004,2081,1876,0,203
11,863,4915,2321,1901,0,151
12,705,4811,2563,1921,0,138
13,584,4674,2804,1938,0,104
14,492,4532,3032,1944,0,86
15,412,4219,3218,1953,198,71
16,345,3485,3398,1956,816,64
17,299,2821,3550,1960,1370,42
18,248,2321,3670,1964,1797,47
19,213,1931,3765,1967,2124,32
20,179,1604,3849,1968,2400,33
21,151,1324,3913,1968,2644,28
22,128,1112,3963,1969,2828,22
23,112,911,4014,1970,2993,15
24,95,776,4058,1970,3101,17
25,76,632,4088,1972,3232,17
26,62,523,4111,1973,3331,13
27,52,441,4132,1973,3402,10
28,45,365,4150,1974,3466,6
29,39,304,4163,1976,3518,4
30,33,253,4172,1976,3566,6
31,32,211,4184,1976,3597,1
32,32,175,4192,1976,3625,0
33,25,159,4193,1976,3647,7
34,21,138,4196,1976,3669,4
35,21,118,4198,1976,3687,0
36,18,100,4203,1976,3703,3
37,17,82,4206,1976,3719,1
38,16,65,4212,1976,3731,1
39,14,57,4214,1976,3739,2
40,11,48,4219,1976,3746,3
41,11,37,4221,1976,3755,0
42,10,29,4224,1976,3761,1
43,8,29,4224,1976,3763,2
44,8,25,4225,1976,3766,0
45,5,25,4225,1976,3769,3
46,5,18,4227,1976,3774,0
47,5,16,4228,1976,3775,0
48,5,16,4228,1976,3775,0
49,4,14,4228,1976,3778,1
50,2,14,4229,1976,3779,2
51,2,13,4230,1976,3779,0
52,2,11,4231,1976,3780,0
53,2,9,4232,1976,3781,0
54,2,8,4232,1976,3782,0
55,1,9,4232,1976,3782,1
56,1,8,4232,1976,3783,0
57,1,6,4234,1976,3783,0
58,0,7,4234,1976,3783,1
59,0,5,4234,1976,3785,0
60,0,5,4234,1976,3785,0
61,0,3,4235,1976,3786,0
62,0,3,4235,1976,3786,0
63,0,2,4236,1976,3786,0
64,0,2,4236,1976,3786,0
65,0,1,4237,1976,3786,0
66,0,0,4237,1976,3787,0
